Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Cyperaceae undifferentiated,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperacées,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Scleria boivini,Scleria-type secans,CYPERACEAE,NL,herb/climbing herb,scandent perennial herb,,,,,
Dioscorea,Dioscorea,DIOSCOREACEAE,NL,herb/climbing herb,twining or climbing dioecious pubescent or glabrous herbs,,,,,
Dioscorea fandra,Dioscorea fandra-type,DIOSCOREACEAE,NL,herb/climbing herb,herbaceous climber to 1.5 m,,,,,
Dioscorea minutiflora,Dioscorea minutiflora-type,DIOSCOREACEAE,NL,herb/climbing herb,rootstock perennial herb,,,,,
Dioscorea type,Dioscorea,DIOSCOREACEAE,NL,herb/climbing herb,twining or climbing dioecious pubescent or glabrous herbs,,,,,
Acalypha psilostachya,Acalypha psilostachya-type,EUPHORBIACEAE,NL,herb/climbing herb,large erect or scrambling perennial herb or subshrub 0.6-3 m tall,,,,,
cf Rhynchosia,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Cf Vigna,Vigna-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
cf. Vicia,Vicia-type,FABACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Fabaceae t. Lathyrus/Vicia,Lathyrus/Vicia,FABACEAE,NL,herb/climbing herb,herbs often climbing,,,,,
Mucuna,Mucuna-type,FABACEAE,NL,herb/climbing herb,Climbing or trailing herb or liane f,,,,,
Phaseolus,Phaseolus,FABACEAE,NL,herb/climbing herb,herbs or subshrubs,,,,,
Rhynchosia,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhynchosia type,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhynchosiae,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhynchosia-type malacophylla,Rhynchosia-type malacophylla,FABACEAE,NL,herb/climbing herb,climbing herb,,,,,
Rynchosia,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
type Rhynchosia,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Vicia faba,Vicia-type faba,FABACEAE,NL,herb/climbing herb,annual or perennial herb,,,,,
Vicia-type,Vicia-type,FABACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Vigna cf. luteola,Vigna-type luteola,FABACEAE,NL,herb/climbing herb,perennial herbaceous climber,,,,,
Vigna-type,Vigna-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Swertia,Swertia-type,GENTIANACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Swertia Type,Swertia-type,GENTIANACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Stephania abyssinica,Stephania-type abyssinica,MENISPERMACEAE,NL,herb/climbing herb,twining herb up to 5 m,,,,,
Stephania-type abyssinica,Stephania-type abyssinica,MENISPERMACEAE,NL,herb/climbing herb,twining herb up to 5 m,,,,,
Commicarpus plumbagineus-type,Commicarpus-type plumbagineus,NYCTAGINACEAE,NL,herb/climbing herb,perennial herb,,,,,
Commicarpus-type,Commicarpus-type,NYCTAGINACEAE,NL,herb/climbing herb,perennial herbs,,,,,
Nyctaginaceae Commicarpus,Commicarpus-type,NYCTAGINACEAE,NL,herb/climbing herb,perennial herbs,,,,,
Acrocras zizanioides,Acroceras zizanoides-type,POACEAE,NL,herb/climbing herb,perennial herb, culms slender,,,,
Otomeria,Otomeria,RUBIACEAE,NL,herb/climbing herb,perennial or annual erect herbs,,,,,
RUBIA*,Rubia-type,RUBIACEAE,NL,herb/climbing herb,scrambling,,,,,
Cardiospermum halicacabum,Cardiospermum halicacabum-type,SAPINDACEAE,NL,herb/climbing herb,annual herbaceous climber to 3-5 m,,,,,
Priva,Priva,VERBENACEAE,NL,herb/climbing herb,erect or ascending perennial herbs,,,,,
Ampelocissus,Ampelocissus-type,VITACEAE,NL,herb/climbing herb,erect or scrambling perennial herbs or herbaceous to slightly woody climbers,,,,,
Cayratia-type,Cayratia-type,VITACEAE,NL,herb/climbing herb,herbaceous climbers or scramblers,,,,,
Cf Cayratia,Cayratia-type,VITACEAE,NL,herb/climbing herb,herbaceous climbers or scramblers,,,,,
cf Cissus oliveri,Cissus oliveri-type,VITACEAE,NL,herb/climbing herb,Climbing shrub 1,,,,,
Cissus ibuensis,Cayratia-type ibuensis,VITACEAE,NL,herb/climbing herb,climbing herb to 2 m,,,,,
Cissus quadrangularis-type,Cissus quadrangularis-type,VITACEAE,NL,herb/climbing herb,succulent climber to 4 m,,,,,
Cissus* quadrangularis,Cissus quadrangularis-type,VITACEAE,NL,herb/climbing herb,succulent climber to 4 m,,,,,
Cissus-type quadrangularis,Cissus quadrangularis-type,VITACEAE,NL,herb/climbing herb,succulent climber to 4 m,,,,,
Cyphostemma-type cyphopetalum,Cyphostemma-type cyphopetalum,VITACEAE,NL,herb/climbing herb,Herbaceous often ± succulent climber or scrambler 3-6 m long,,,,,
Alisma,Alisma plantago-aquatica,ALISMATACEAE,Nq,aquatic herb,perennial marsh herb,,,,,
Alisma comp.,Alisma plantago-aquatica,ALISMATACEAE,Nq,aquatic herb,perennial marsh herb,,,,,
Alisma plantago-aquatica,Alisma plantago-aquatica,ALISMATACEAE,Nq,aquatic herb,perennial marsh herb,,,,,
Alismataceae,Alismataceae undiff.,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Alismataceae cf.Burnatia,Burnatia enneandra,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Alismataceae undiff.,Alismataceae undiff.,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Alisma-type plantago-aquatica,Alisma plantago-aquatica,ALISMATACEAE,Nq,aquatic herb,perennial marsh herb,,,,,
Burnatia,Burnatia enneandra,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Burnatia enneandra,Burnatia enneandra,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Burnatia-type enneandra,Burnatia enneandra,ALISMATACEAE,Nq,aquatic herb,perennial,,,,,
Limnophyton,Limnophyton-type,ALISMATACEAE,Nq,aquatic herb,annual or perennial aquatic or marsh herbs,,,,,
Limnophyton-type,Limnophyton-type,ALISMATACEAE,Nq,aquatic herb,annual or perennial aquatic or marsh herbs,,,,,
Limnophyton-type obtusifolium,Limnophyton-type obtusifolium,ALISMATACEAE,Nq,aquatic herb,perennial aquatic or marsh herb,,,,,
Ranalisma humile,Ranalisma-type humile,ALISMATACEAE,Nq,aquatic herb,small aquatic herb 1-2 in. high in mud or up to 6 in. if growing in water,,,,,
Sagittaria,Sagittaria-type guayanensis,ALISMATACEAE,Nq,aquatic herb,aquatic herb with floating leaves,,,,,
Centrostachys aquatica,Centrostachys-type aquatica,AMARANTHACEAE,Nq,aquatic herb,aquatic or subaquatic perennial herb,,,,,
Crinum natans,Crinum natans-type,AMARYLLIDACEAE,Nq,aquatic herb,aquatic herb with large bulbs,,,,,
Crinum natans-type,Crinum natans-type,AMARYLLIDACEAE,Nq,aquatic herb,aquatic herb with large bulbs,,,,,
Crinum-type natans,Crinum natans-type,AMARYLLIDACEAE,Nq,aquatic herb,aquatic herb with large bulbs,,,,,
Centella asiatica,Centella asiatica-type,APIACEAE,Nq,aquatic herb,perennial creeping herb,,,,,
cf Hydrocotyle,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocothyle,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocotyl,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocotyle,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
HYDROCOTYLE,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocotyle (cf.),Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocotyle hierta type,Hydrocotyle hirta-type,APIACEAE,Nq,aquatic herb,slender trailing perennial herb,,,,,
Hydrocotyle hirta-type,Hydrocotyle hirta-type,APIACEAE,Nq,aquatic herb,slender trailing perennial herb,,,,,
Hydrocotyle manni,Hydrocotyle mannii-type,APIACEAE,Nq,aquatic herb,perennial herb,,,,,
Hydrocotyle mannii-type,Hydrocotyle mannii-type,APIACEAE,Nq,aquatic herb,perennial herb,,,,,
Hydrocotyle ranunculoides,Hydrocotyle ranunculoides-type,APIACEAE,Nq,aquatic herb,glabrous herb,,,,,
Hydrocotyle ranunculoides-type,Hydrocotyle ranunculoides-type,APIACEAE,Nq,aquatic herb,glabrous herb,,,,,
Hydrocotyle-type,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Hydrocrotyle,Hydrocotyle,APIACEAE,Nq,aquatic herb,creeping perennial herbs,,,,,
Aponogeton,Aponogeton,APONOGETONACEAE,Nq,aquatic herb,rhizomatous perennial aquatic herbs,,,,,
Pistia stratiotes,Pistia stratiotes,ARACEAE,Nq,aquatic herb,small,,,,,
Pistia Type,Pistia stratiotes,ARACEAE,Nq,aquatic herb,small,,,,,
Pacourina,Pacourina-type,ASTERACEAE,Nq,aquatic herb,aquatic herbs (VERNONIEAE),,,,,
PACOURINA,Pacourina-type,ASTERACEAE,Nq,aquatic herb,aquatic herbs (VERNONIEAE),,,,,
Pacourina type,Pacourina-type,ASTERACEAE,Nq,aquatic herb,aquatic herbs (VERNONIEAE),,,,,
Pacourina-type,Pacourina-type,ASTERACEAE,Nq,aquatic herb,aquatic herbs (VERNONIEAE),,,,,
Callitriche,Callitriche,CALLITRICHACEAE,Nq,aquatic herb,aquatic or subaquatic herbs,,,,,
Callitriche (Halorrhagaceaea),Callitriche,CALLITRICHACEAE,Nq,aquatic herb,aquatic or subaquatic herbs,,,,,
Callitriche antarctica,Callitriche antarctica-type,CALLITRICHACEAE,Nq,aquatic herb,freshwater aquatic herb,,,,,
Callitriche sim,Callitriche,CALLITRICHACEAE,Nq,aquatic herb,aquatic or subaquatic herbs,,,,,
Callitriche stagnalis,Callitriche,CALLITRICHACEAE,Nq,aquatic herb,aquatic or subaquatic herbs,,,,,
Callitriche stagnalis-type,Callitriche,CALLITRICHACEAE,Nq,aquatic herb,aquatic or subaquatic herbs,,,,,
Elatine,Elatine,ELATINACEAE,Nq,aquatic herb,nnual aquatic herb with floating stem,,,,,
Eriocaulaceae,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Eriocaulaceae Ind‚termin‚es,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Eriocaulaceae Indéterminées,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Eriocaulaceae undiff.,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Eriocaulon-type,Eriocaulon-type,ERIOCAULACEAE,Nq,aquatic herb,annual or perennial mostly slender glabrous herbs,,,,,
Mesanthemum-type,Mesanthemum-type,ERIOCAULACEAE,Nq,aquatic herb,perennial rhizomatous herbs or rarely slender annuals,,,,,
Mesanthenum,Mesanthemum-type,ERIOCAULACEAE,Nq,aquatic herb,perennial rhizomatous herbs or rarely slender annuals,,,,,
Caperonia,Caperonia,EUPHORBIACEAE,Nq,aquatic herb,annual or perennial paludicolous herbs,,,,,
Aeschynomene crassicaulis,Aeschynomene crassicaulis-type,FABACEAE,Nq,aquatic herb,floating herb,,,,,
Sesbania cf. sericea,Sesbania sericea-type,FABACEAE,Nq,aquatic herb,aquatic erect slightly woody herb 1-3 m tall,,,,,
Sesbania pachycarpa-type,Sesbania pachycarpa-type,FABACEAE,Nq,aquatic herb,aquatic semi-woody herb 1-2.5 m tall,,,,,
Sesbania sericea,Sesbania sericea-type,FABACEAE,Nq,aquatic herb,aquatic erect slightly woody herb 1-3 m tall,,,,,
Laurembergia,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
Laurembergia tetrandra,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
Laurembergia villosa,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
Myriophyllum-type,Myriophyllum,HALORRHAGACEAE,Nq,aquatic herb,annual or perennial aquatic herbs,,,,,
HYDROCHARITACEAE,Hydrocharitaceae undiff.,HYDROCHARITACEAE,Nq,aquatic herb,herbs perennial,,,,,
Hydrocharitaceae undiff.,Hydrocharitaceae undiff.,HYDROCHARITACEAE,Nq,aquatic herb,herbs perennial,,,,,
Ottelia ulvifolia,Ottelia-type ulvifolia,HYDROCHARITACEAE,Nq,aquatic herb,submerged aquatic herb,,,,,
Ottelia-type ulvifolia,Ottelia-type ulvifolia,HYDROCHARITACEAE,Nq,aquatic herb,submerged aquatic herb,,,,,
Hydrocharitaceae/ Lemna,Hydrocharitaceae/Lemnaceae,HYDROCHARITACEAE/LEMNACEAE,Nq,aquatic herb,herbs perennial,,,,,
Hydrostachys,Hydrostachys,HYDROSTACHYACEAE,Nq,aquatic herb,in rivers,,,,,
Juncus cf.,Juncus,JUNCACEAE,Nq,aquatic herb,annual or perennial glabrous herbs,,,,,
Lemna,Lemna,LEMNACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Lemnaceae,Lemnaceae undiff.,LEMNACEAE,Nq,aquatic herb,aquatic herbs,,,,,
UTRICULARIA INFLEXA*,Utricularia-type inflexa,LENTIBULARIACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Amannia-type,Ammannia-type,LYTHRACEAE,Nq,aquatic herb,ephemeral herbs,,,,,
Ammania,Ammannia-type,LYTHRACEAE,Nq,aquatic herb,ephemeral herbs,,,,,
Ammania-type prieureana,Ammannia-type prieureana,LYTHRACEAE,Nq,aquatic herb,annual herb,,,,,
Ammannia-type,Ammannia-type,LYTHRACEAE,Nq,aquatic herb,ephemeral herbs,,,,,
LYTHRUM,Lythrum,LYTHRACEAE,Nq,aquatic herb,herbs,,,,,
Lythrum rotundifolium,Lythrum rotundifolium-type,LYTHRACEAE,Nq,aquatic herb,creeping or ascending,,,,,
Lythrum-type,Lythrum,LYTHRACEAE,Nq,aquatic herb,herbs,,,,,
Rotala,Rotala,LYTHRACEAE,Nq,aquatic herb,annual or perennial herbs,,,,,
Menyanthes,Nymphoides,MENYANTHACEAE,Nq,aquatic herb,perennial aquatic or mash herbs,,,,,
Nymphoides indica,Nymphoides indica-type,MENYANTHACEAE,Nq,aquatic herb,perennial aquatic or mash herb,,,,,
Nymphoides indica-type,Nymphoides indica-type,MENYANTHACEAE,Nq,aquatic herb,perennial aquatic or mash herb,,,,,
Neptunia oleracea,Neptunia oleracea,MIMOSACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Cf Nenuphar,Nuphar lutea-type,NYMPHAEACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Nuphar lutea,Nuphar lutea-type,NYMPHAEACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Nympaeaceae,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaceae,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea cf.,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea lotus,Nymphaea lotus-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea maculate,Nymphaea heudelotii-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea nouchali,Nymphaea nouchali-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaeaceae,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphea lothus-type,Nymphaea lotus-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphea sp.,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nympheae,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
cf/Onagraceae Type,Onagraceae undiff.,ONAGRACEAE,Nq,aquatic herb,plants mostly herbaceous,,,,,
Epilobium (single),Epilobium-type,ONAGRACEAE,Nq,aquatic herb,annual or perenniall herbs,,,,,
Jussiaea,Ludwigia-type,ONAGRACEAE,Nq,aquatic herb,herbs,,,,,
Jussiaea-type,Ludwigia-type,ONAGRACEAE,Nq,aquatic herb,herbs,,,,,
Ludwigia sp.,Ludwigia-type,ONAGRACEAE,Nq,aquatic herb,herbs,,,,,
Ludwigia-type,Ludwigia-type,ONAGRACEAE,Nq,aquatic herb,herbs,,,,,
Lugdwigia,Ludwigia-type,ONAGRACEAE,Nq,aquatic herb,herbs,,,,,
Oenothera,Oenothera,ONAGRACEAE,Nq,aquatic herb,annual,,,,,
Onagraceae,Onagraceae undiff.,ONAGRACEAE,Nq,aquatic herb,plants mostly herbaceous,,,,,
Onagraceae undiff.,Onagraceae undiff.,ONAGRACEAE,Nq,aquatic herb,plants mostly herbaceous,,,,,
Echinochloa pyramidalis,Echinochloa pyramidalis-type,POACEAE,Nq,aquatic herb,rhizomatous perennial aquatic herb, culms robust,,,,
Phragmites,Phragmites,POACEAE,N,herb,aquatic or semi-aquatic perennial herbs,,,,,
Podostemaceae,Podostemaceae undiff.,PODOSTEMACEAE,Nq,aquatic herb,submerged fresh-water herbs,,,,,
Podostemonaceae,Podostemaceae undiff.,PODOSTEMACEAE,Nq,aquatic herb,submerged fresh-water herbs,,,,,
Sphaerotylax abyssinica,Sphaerothylax abyssinica-type,PODOSTEMACEAE,Nq,aquatic herb,fresh-water herb,,,,,
Tristicha alterniflora,Tristicha trifaria,PODOSTEMACEAE,Nq,aquatic herb,moss-like plants forming dense mats,,,,,
Polygonum cf. P. senegalense,Persicaria senegalensis-type,POLYGONACEAE,Nq,aquatic herb,erect,,,,,
Polygonum cf. senegalense,Persicaria senegalensis-type,POLYGONACEAE,Nq,aquatic herb,erect,,,,,
Polygonum pulchrum-type,Persicaria lapathifolia-type,POLYGONACEAE,Nq,aquatic herb,perennial herb 1 m tall,,,,,
Polygonum senegalense type,Persicaria senegalensis-type,POLYGONACEAE,Nq,aquatic herb,erect,,,,,
Polygonum senegalense-type,Persicaria senegalensis-type,POLYGONACEAE,Nq,aquatic herb,erect,,,,,
Polygonum senegalensis-type,Persicaria senegalensis-type,POLYGONACEAE,Nq,aquatic herb,erect,,,,,
Polygonum type pulchrum,Persicaria lapathifolia-type,POLYGONACEAE,Nq,aquatic herb,perennial herb 1 m tall,,,,,
Tristicha alternifora,Tristicha trifaria,PODOSTEMACEAE,Nq,aquatic herb,moss-like plants forming dense mats,,,,,
Eichhornia natans,Eichhornia diversifolia,PONTEDERIACEAE,Nq,aquatic herb,floating aquatic herb,,,,,
Pontederaceae,Pontederiaceae undiff.,PONTEDERIACEAE,Nq,aquatic herb,herbs,,,,,
Ponteridaceae,Pontederiaceae undiff.,PONTEDERIACEAE,Nq,aquatic herb,herbs,,,,,
Pontamogetonaceae,Potamogetonaceae undiff.,POTAMOGETONACEAE,Nq,aquatic herb,herbs,,,,,
Eriocaulaceae Indeterminees,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Eriocaulon,Eriocaulon-type,ERIOCAULACEAE,Nq,aquatic herb,annual or perennial mostly slender glabrous herbs,,,,,
Mesanthemum,Mesanthemum-type,ERIOCAULACEAE,Nq,aquatic herb,perennial rhizomatous herbs or rarely slender annuals,,,,,
Mesanthemum-type prescottianum,Mesanthemum-type prescottianum,ERIOCAULACEAE,Nq,aquatic herb,slender perennial herb,,,,,
TypeEriocaulaceae,Eriocaulaceae undiff.,ERIOCAULACEAE,Nq,aquatic herb,perennial or annual herbs growing in seasonally wet places or in shallow water,,,,,
Caperonia senegalensis,Caperonia serrata-type,EUPHORBIACEAE,Nq,aquatic herb,annual herb,,,,,
Sesbania cf. pachycarpa,Sesbania pachycarpa-type,FABACEAE,Nq,aquatic herb,aquatic semi-woody herb 1-2.5 m tall,,,,,
Sesbania pachycarpa,Sesbania pachycarpa-type,FABACEAE,Nq,aquatic herb,aquatic semi-woody herb 1-2.5 m tall,,,,,
Sesbania rostrata,Sesbania rostrata-type,FABACEAE,Nq,aquatic herb,Erect robust softly woody annual or biennial herb 1-3 m tall,,,,,
Laurambergia,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
Laurembergia Tetranda,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
LAUREMBERGIA TETRANDRA,Laurembergia tetrandra,HALORRHAGACEAE,Nq,aquatic herb,small,,,,,
Myriophyllum,Myriophyllum,HALORRHAGACEAE,Nq,aquatic herb,annual or perennial aquatic herbs,,,,,
Hydrocharis cf.,Hydrocharis-type,HYDROCHARITACEAE,Nq,aquatic herb,floating herb,,,,,
Hydrocharitaceae,Hydrocharitaceae undiff.,HYDROCHARITACEAE,Nq,aquatic herb,herbs perennial,,,,,
Hydrocharitaceae (Otterlia cf.),Ottelia-type,HYDROCHARITACEAE,Nq,aquatic herb,annual or perennial,,,,,
Ottelia,Ottelia-type,HYDROCHARITACEAE,Nq,aquatic herb,annual or perennial,,,,,
Ottelia-type,Ottelia-type,HYDROCHARITACEAE,Nq,aquatic herb,annual or perennial,,,,,
Vallisneria,Vallisneria spiralis,HYDROCHARITACEAE,Nq,aquatic herb,perennial,,,,,
Hydrolea,Hydrolea,HYDROPHYLLACEAE,Nq,aquatic herb,herbs or undershrubs,,,,,
Juncus,Juncus,JUNCACEAE,Nq,aquatic herb,annual or perennial glabrous herbs,,,,,
Triglochin,Triglochin,JUNCAGINACEAE,Nq,aquatic herb,slender bulbiferous perennial herbs,,,,,
Lemna sp.,Lemna,LEMNACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Wolffia comp.,Wolffia,LEMNACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Utricularia-type inflexa,Utricularia-type inflexa,LENTIBULARIACEAE,Nq,aquatic herb,aquatic herbs,,,,,
Amannia-type prieureana,Ammannia-type prieureana,LYTHRACEAE,Nq,aquatic herb,annual herb,,,,,
Ammania-type,Ammannia-type,LYTHRACEAE,Nq,aquatic herb,ephemeral herbs,,,,,
Ammannia,Ammannia-type,LYTHRACEAE,Nq,aquatic herb,ephemeral herbs,,,,,
Lythraceae Lythrum Typ,Lythrum,LYTHRACEAE,Nq,aquatic herb,herbs,,,,,
Lythrum,Lythrum,LYTHRACEAE,Nq,aquatic herb,herbs,,,,,
Lythrum rotundifolium-type,Lythrum rotundifolium-type,LYTHRACEAE,Nq,aquatic herb,creeping or ascending,,,,,
Nesaeaerecta,Ammannia-type erecta,LYTHRACEAE,Nq,aquatic herb,annual erect or ascending herb 5-35 cm high,,,,,
t.Peplis,Lythrum,LYTHRACEAE,Nq,aquatic herb,herbs,,,,,
Nymphoides,Nymphoides,MENYANTHACEAE,Nq,aquatic herb,perennial aquatic or mash herbs,,,,,
Nymphoides indica t.,Nymphoides indica-type,MENYANTHACEAE,Nq,aquatic herb,perennial aquatic or mash herb,,,,,
Neptunia,Neptunia oleracea,MIMOSACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Neptunia-type oleracea,Neptunia oleracea,MIMOSACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nuphar,Nuphar,NYMPHAEACEAE,Nq,aquatic herb,aquatic herb,,,,,
Nuphar lutea-type,Nuphar lutea-type,NYMPHAEACEAE,Nq,aquatic herb,aquatic herbs,,,,,
NYMPHACEA,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphae lotus,Nymphaea lotus-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea cerulea-type,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea guineensis-type,Nymphaea micrantha-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea lotus-type,Nymphaea lotus-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea micrantha,Nymphaea micrantha-type,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphaea sp.,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nymphea,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
Nympheaceae Nymphea,Nymphaea,NYMPHAEACEAE,Nq,aquatic herb,perennial aquatic herb,,,,,
